NAME OF SCHOOL

"ADO-ODO HIGH SCHOOL (JUNIOR), ADO-ODO"
"AGBARA COMMUNITY JUNIOR HIGH SCHOOL, EDU"
AJOGBO GRAMMAR SCHOOL (JUNIOR)
ALAMUWA GRAMMAR SCHOOL (JUNIOR) ADO ODO
"ANGLICAN GRAMMAR SCHOOL (JUNIOR), OTA"
ANSAR-UD-DEEN. COMPREHENSIVE COLLEGE (JUNIOR) OTA
"ANSAR-UD-DEEN. COMPREHENSIVE HIGH SCHOOL (SENIOR) LAFENWA, OTA."
"COMMUNITY HIGH SCHOOL JUNIOR, ALAPOTI"
"COMMUNITY HIGH SCHOOL JUNIOR, IROKO OTA."
IGANMODE GRAMMAR SCHOOL (JUNIOR) OTA
IGBESA  HIGH SCHOOL(JUNIOR) IGBESA.
"IJU EBIYE HIGH SCHOOL (SENIOR), IJU, OTA"
LOCAL GOVERNMENT SECONDARY COMMERCIAL SCHOOL [JNR] ATAN.
MALE COMPREHENSIVE HIGH SCHOOL(JUNIOR) IGBESA.
"SANGO OTA HIGH SCHOOL, (JNR) SANGO OTA"
ST. STEPHEN COMPREHENSIVE HIGH SCHOOL(JUNIOR) ADO-ODO.
UNITY HIGH SCHOOL (JUNIOR) IJOKO-OTA
UNITY HIGH SCHOOL (JUNIOR) KAJOLA IBOORO
"ADO-ODO HIGH SCHOOL (SENIOR), ADO-ODO"
"AGBARA COMMUNITY SENIOR HIGH SCHOOL, EDU"
AJOGBO GRAMMAR SCHOOL (SENIOR)
ALAMUWA GRAMMAR SCHOOL (SENIOR) ADO ODO
"ANGLICAN GRAMMAR SCHOOL (SENIOR), OTA"
ANSAR-UD-DEEN. COMPREHENSIVE COLLEGE (SENIOR) OTA
"ANSAR-UD-DEEN. COMPREHENSIVE HIGH SCHOOL (SENIOR) LAFENWA, OTA."
"COMMUNITY HIGH SCHOOL SENIOR, ALAPOTI"
"COMMUNITY HIGH SCHOOL SNR, IROKO OTA."
IGANMODE GRAMMAR SCHOOL (SENIOR) OTA
IGBESA  HIGH SCHOOL(SENIOR) IGBESA.
"IJU EBIYE HIGH SCHOOL (SENIOR), IJU, OTA"
LOCAL GOVERNMENT SECONDARY COMMERCIAL SCHOOL [SNR] ATAN.
MALE COMPREHENSIVE HIGH SCHOOL(SENIOR) IGBESA.
"SANGO OTA HIGH SCHOOL, (SNR) SANGO OTA"
ST. STEPHEN COMPREHENSIVE HIGH SCHOOL(SENIOR) ADO-ODO.
UNITY HIGH SCHOOL (SENIOR) IJOKO-OTA
UNITY HIGH SCHOOL (SENIOR) KAJOLA IBOORO
ADIE OWE COMM HIGH SCHOOL
AFRICAN CHURCH COMM. H. SCHOOL
"AGBARA GRAMMAR SCHOOL, AGBARA"
"ANSAR-UD DEEN COMPRE COLLEGE,ITELE"
"ARAROMI COMMUNITY HIGH SCHOOL, ORITA"
"COMMUNITY HIGH SCHOOL,IGBALA"
"EJILA AWORI COMMUNITY SECONDARY SCHOOL, OTA."
"GOVERNMENT SCIENCE AND TECHNICAL COLLEGE, IGBESA."
ILOGBO ASOWO COMMUNITY HIGH SCH
"IYESI-OTA HIGH SCHOOL,IYESI  -OTA SITUATION REPORT ON PUBLIC SEC. SCHOOLS."
"ST MICHAEL'S HIGH SCHOOL,OTA"
"TOYON HIGH SCHOOL, ERE"
COMMUNITY SEC OKO BAALE
"GBENOPO COMMUNITY GRAMMAR SCHOOL,BANDU"
"OWODE OTA GRAMMAR SCHOOL, IJAKO."
OKE-ORE GRAMMAR SCHOOL
YEMAA COMMUNITY  SITUATION REPORT ON PUBLIC SEC. SCHOOLS.
"ABEOKUTA GIRLS GRAMMAR SCHOOL, ONIKOLOBO"
"ABEOKUTA GRAMMAR SCHOOL, IDI ABA"
"ANGLICAN HIGH SCHOOL, QUARRY ROAD, IBARA"
"ASERO HIGH SCHOOL, ASERO"
"BAPTIST BOYS' HIGH, SAJE"
"BAPTIST GIRLS' COLLEGE SCHOOL, IDI ABA"
"CATHOLIC COMPREHENSIVVE HIGH SCHOOL, PANSEKE, IBARA"
"EGBA COMPREHENSIVE HIGH SCHOOL, ASERO"
"IGBORE HIGH SCHOOL, IGBORE"
"IJEMO-TITUN HIGH SCHOOL, HOUSING ESTATE, IBARA"
"LANTORO HIGH SCHOOL, LANTORO"
"LISABI GRAMMAR SCHOOL, IDI ABA"
"MACJOB GRAMMAR SCHOOL, ONIKOLOBO"
"METHODIST HIGH SCHOOL, OGBE"
"NAWAIR-UN-DEEN HIGH SCHOOL, ISABO"
"REVEREND KUTI MEMORIAL GRAMMAR SCHOOL, ISABO"
"SAJE HIGH SCHOOL, SAJE"
"SAINT JOHN'S ANGLICAN HIGH SCHOOL, KUTO"
"SAINT LEO’S COLLEGE, ONIKOKO"
"ABEOKUTA GIRLS GRAMMAR SCHOOL, ONIKOLOBO"
"ABEOKUTA GRAMMAR SCHOOL, IDI ABA"
"AGUNBIADE VICTORY HIGH SCHOOL, MAGBON"
"ANGLICAN HIGH SCHOOL, QUARRY ROAD, IBARA"
"ASERO HIGH SCHOOL, ASERO"
"BAPTIST BOYS' HIGH, SAJE"
"BAPTIST GIRLS' COLLEGE SCHOOL, IDI ABA"
"CATHOLIC COMPREHENSIVVE HIGH SCHOOL, PANSEKE, IBARA"
"EGBA COMPREHENSIVE HIGH SCHOOL, ASERO"
"GOVERNMENT SCIENCE AND TECHNICAL COLLEGE, IDI ABA "
"IGBORE HIGH SCHOOL, IGBORE"
"IJEMO-TITUN HIGH SCHOOL, HOUSING ESTATE, IBARA"
"LANTORO HIGH SCHOOL, LANTORO"
"LISABI GRAMMAR SCHOOL, IDI ABA"
"MACJOB GRAMMAR SCHOOL, ONIKOLOBO"
"METHODIST HIGH SCHOOL, OGBE"
"NAWAIR-UN-DEEN HIGH SCHOOL, ISABO"
"REVEREND KUTI MEMORIAL GRAMMAR SCHOOL, ISABO"
"SAJE HIGH SCHOOL, SAJE"
"SAINT JOHN'S ANGLICAN HIGH SCHOOL, KUTO"
"SAINT LEO’S COLLEGE, ONIKOKO"
"ARICAN CHURCH GRAMMAR SCHOOL (JNR), ITA- IYALODE"
"ARMYDAY SECONDARY SCHOOL, (JNR), ALAMALA"
"EBENEZER GRAMMAR SCHOOL, (JNR), IBEREKODO"
"GATEWAY SECONDARY SCHOOL, (JNR), ITA - EKO"
"ILUGUN HIGH SCHOOL (JNR), ELEGA"
"LAFENWA HIGH SCHOOL (JNR), LAFENWA"
"PREMIER GRAMMAR SCHOOL (JNR), LAFENWA"
"ST. PETER'S COLLEGE,(JNR) OLOMORE"
"UNITY HIGH SCHOOL,(JNR) AGO- IKA"
"ARICAN CHURCH GRAMMAR SCHOOL (SNR), ITA- IYALODE"
"ARMYDAY SECONDARY SCHOOL, (SNR), ALAMALA"
"EBENEZER GRAMMAR SCHOOL, (SNR), IBEREKODO"
"GATEWAY SECONDARY SCHOOL, (SNR), ITA - EKO"
"ILUGUN HIGH SCHOOL (SNR), ELEGA"
"LAFENWA HIGH SCHOOL (SNR), LAFENWA"
"PREMIER GRAMMAR SCHOOL (SNR), LAFENWA"
"ST. PETER'S COLLEGE,(SNR) OLOMORE"
"UNITY HIGH SCHOOL,(SNR) AGO- IKA"
"AJIBOYEDE COMPRHENSIVE HIGH SCHOOL, IBARA - ORILE"
"ANSAR-UD- DEEN GRAMMAR SCHOOL, ISAGA ORILE"
"IDI- EMI HIGH SCHOOL, IDI EMI"
"IKIJA HIGH SCHOOL, IKIJA"
"ILEWO COMMUNITY HIGH SCHOOL, ILEWO"
"IMALA COMMUNITY HIGH SCHOOL, IMALA"
"OKE- ONA GRAMMAR SCHOOL, OKE- ONA"
"OLORUNDA COMMUNITY HIGH SCHOOL, OLORUNDA"
"OLUMO HIGH SCHOOL, SABO"
"ARMY DAY JUNIOR SEC. SCH,. OWODE"
"AREA COMM. HIGH SCH., JNR, OWODE"
"OWODE  SEC. SCHOOL JNR., OWODE"
IYEWA HIGH SCHOOL JNR. AJILETE
"MUSLIM PROG. HIGH SCH., OKE-ODAN"
"EMMANUEL COMM. HIGH SCH., ILARO"
"ORONNA HIGH SCHOOL, JNR, ILARO"
"ANGLICAN GRAMM, SCH. ILARO"
"ITOLU COMM. H/S JUNIOR, ILARO"
"YEWA COLLEGE JUNIOR, ILARO"
"IWOYE AREA COMM. H/S, IWOYE."
"ARMY DAY SENIOR SEC. SCH,. OWODE"
"AREA COMM. HIGH SCH., SNR, OWODE"
"OWODE  SEC. SCHOOL SNR., OWODE"
IYEWA HIGH SCHOOL SNR. AJILETE
"MUSLIM PROG. HIGH SCH., OKE-ODAN"
"EMMANUEL COMM. HIGH SCH., ILARO"
"ORONNA HIGH SCHOOL, SNR, ILARO"
