nameOfSchool,location,category,zone
Head Quarters,"OKEMOSAN, ABEOKUTA",HEADQUARTERS,ABEOKUTA SOUTH
"Ado-Odo High School (Junior), Ado-Odo",ADO-ODO,JUNIOR,ADO-ODO OTA
"Agbara Community Junior High School, Edu",AGBARA COMMUNITY,JUNIOR,ADO-ODO OTA
Ajogbo Grammar School (Junior),OTA,JUNIOR,ADO-ODO OTA
Alamuwa Grammar School (Junior) Ado Odo,ADO-ODO,JUNIOR,ADO-ODO OTA
"Anglican Grammar School (Junior), Ota",OTA,JUNIOR,ADO-ODO OTA
Ansar-Ud-Deen. Comprehensive College (Junior) Ota,OTA,JUNIOR,ADO-ODO OTA
"Ansar-Ud-Deen. Comprehensive High School (Senior) Lafenwa, Ota.",OTA,JUNIOR,ADO-ODO OTA
"Community High School Junior, Alapoti",ALAPOTI,JUNIOR,ADO-ODO OTA
"Community High School Junior, Iroko Ota.",IROKO-OTA,JUNIOR,ADO-ODO OTA
Iganmode Grammar School (Junior) Ota,OTA,JUNIOR,ADO-ODO OTA
Igbesa  High School(Junior) Igbesa.,IGBESA,JUNIOR,ADO-ODO OTA
"Iju Ebiye High School (Senior), Iju, Ota",IJU-OTA,JUNIOR,ADO-ODO OTA
Local Government Secondary Commercial School [Jnr] Atan.,ATAN-OTA,JUNIOR,ADO-ODO OTA
Male Comprehensive High School(Junior) Igbesa.,IGBESA,JUNIOR,ADO-ODO OTA
"Sango Ota High School, (Jnr) Sango Ota",OTA,JUNIOR,ADO-ODO OTA
St. Stephen Comprehensive High School(Junior) Ado-Odo.,ADO-ODO,JUNIOR,ADO-ODO OTA
Unity High School (Junior) Ijoko-Ota,IJOKO-OTA,JUNIOR,ADO-ODO OTA
Unity High School (Junior) Kajola Ibooro,KAJOLA-IBOORO,JUNIOR,ADO-ODO OTA
"Ado-Odo High School (Senior), Ado-Odo",ADO-ODO,SENIOR,ADO-ODO OTA
"Agbara Community Senior High School, Edu",AGBARA ,SENIOR,ADO-ODO OTA
Ajogbo Grammar School (Senior),OTA,SENIOR,ADO-ODO OTA
Alamuwa Grammar School (Senior) Ado Odo,ADO-ODO,SENIOR,ADO-ODO OTA
"Anglican Grammar School (Senior), Ota",OTA,SENIOR,ADO-ODO OTA
Ansar-Ud-Deen. Comprehensive College (Senior) Ota,OTA,SENIOR,ADO-ODO OTA
"Ansar-Ud-Deen. Comprehensive High School (Senior) Lafenwa, Ota.",OTA,SENIOR,ADO-ODO OTA
"Community High School Senior, Alapoti",ALAPOTI,SENIOR,ADO-ODO OTA
"Community High School Snr, Iroko Ota.",IROKO-OTA,SENIOR,ADO-ODO OTA
Iganmode Grammar School (Senior) Ota,OTA,SENIOR,ADO-ODO OTA
Igbesa  High School(Senior) Igbesa.,IGBESA,SENIOR,ADO-ODO OTA
"Iju Ebiye High School (Senior), Iju, Ota",IJU-OTA,SENIOR,ADO-ODO OTA
Local Government Secondary Commercial School [Snr] Atan.,ATAN-OTA,SENIOR,ADO-ODO OTA
Male Comprehensive High School(Senior) Igbesa.,IGBESA,SENIOR,ADO-ODO OTA
"Sango Ota High School, (Snr) Sango Ota",OTA,SENIOR,ADO-ODO OTA
St. Stephen Comprehensive High School(Senior) Ado-Odo.,ADO-ODO,SENIOR,ADO-ODO OTA
Unity High School (Senior) Ijoko-Ota,IJOKO-OTA,SENIOR,ADO-ODO OTA
Unity High School (Senior) Kajola Ibooro,KAJOLA-IBOORO,SENIOR,ADO-ODO OTA
Adie Owe Comm High School,ADIE-OWE,COMBINED ,ADO-ODO OTA
African Church Comm. H. School,OTA,COMBINED ,ADO-ODO OTA
"Agbara Grammar School, Agbara",AGBARA,COMBINED ,ADO-ODO OTA
"Ansar-Ud Deen Compre College,Itele",OTA,COMBINED ,ADO-ODO OTA
"Araromi Community High School, Orita",OTA,COMBINED ,ADO-ODO OTA
"Community High School,Igbala",OTA,COMBINED ,ADO-ODO OTA
"Ejila Awori Community Secondary School, Ota.",OTA,COMBINED ,ADO-ODO OTA
Ilogbo Asowo Community High Sch,ILOGBO-ASOWO,COMBINED ,ADO-ODO OTA
"Iyesi-Ota High School,Iyesi  -Ota Situation Report On Public Sec. Schools.",OTA,COMBINED ,ADO-ODO OTA
"St Michael'S High School,Ota",OTA,COMBINED ,ADO-ODO OTA
"Toyon High School, Ere",ADO-ODO,COMBINED ,ADO-ODO OTA
Community Sec Oko Baale,OTA,COMBINED ,ADO-ODO OTA
"Gbenopo Community Grammar School,Bandu",OTA,COMBINED ,ADO-ODO OTA
"Owode Ota Grammar School, Ijako.",OTA,COMBINED ,ADO-ODO OTA
Oke-Ore Grammar School,OTA,COMBINED ,ADO-ODO OTA
Yema Community  Situation Report On Public Sec. Schools.,OTA,COMBINED ,ADO-ODO OTA
"Abeokuta Girls Grammar School, Onikolobo",ABEOKUTA,JUNIOR,ABEOKUTA SOUTH
"Abeokuta Grammar School, Idi Aba",ABEOKUTA,JUNIOR,ABEOKUTA SOUTH
"Anglican High School, Quarry Road, Ibara",ABEOKUTA,JUNIOR,ABEOKUTA SOUTH
"Asero High School, Asero",ABEOKUTA,JUNIOR,ABEOKUTA SOUTH
"Baptist Boys' High, Saje",ABEOKUTA,JUNIOR,ABEOKUTA SOUTH
"Baptist Girls' College School, Idi Aba",ABEOKUTA,JUNIOR,ABEOKUTA SOUTH
"Catholic Comprehensivve High School, Panseke, Ibara",ABEOKUTA,JUNIOR,ABEOKUTA SOUTH
"Egba Comprehensive High School, Asero",ABEOKUTA,JUNIOR,ABEOKUTA SOUTH
"Igbore High School, Igbore",ABEOKUTA,JUNIOR,ABEOKUTA SOUTH
"Ijemo-Titun High School, Housing Estate, Ibara",ABEOKUTA,JUNIOR,ABEOKUTA SOUTH
"Lantoro High School, Lantoro",ABEOKUTA,JUNIOR,ABEOKUTA SOUTH
"Lisabi Grammar School, Idi Aba",ABEOKUTA,JUNIOR,ABEOKUTA SOUTH
"Macjob Grammar School, Onikolobo",ABEOKUTA,JUNIOR,ABEOKUTA SOUTH
"Methodist High School, Ogbe",ABEOKUTA,JUNIOR,ABEOKUTA SOUTH
"Nawair-Un-Deen High School, Isabo",ABEOKUTA,JUNIOR,ABEOKUTA SOUTH
"Reverend Kuti Memorial Grammar School, Isabo",ABEOKUTA,JUNIOR,ABEOKUTA SOUTH
"Saje High School, Saje",ABEOKUTA,JUNIOR,ABEOKUTA SOUTH
"Saint John'S Anglican High School, Kuto",ABEOKUTA,JUNIOR,ABEOKUTA SOUTH
"Saint Leo’S College, Onikoko",ABEOKUTA,JUNIOR,ABEOKUTA SOUTH
"Abeokuta Girls Grammar School, Onikolobo",ABEOKUTA,SENIOR,ABEOKUTA SOUTH
"Abeokuta Grammar School, Idi Aba",ABEOKUTA,SENIOR,ABEOKUTA SOUTH
"Agunbiade Victory High School, Magbon",ABEOKUTA,SENIOR,ABEOKUTA SOUTH
"Anglican High School, Quarry Road, Ibara",ABEOKUTA,SENIOR,ABEOKUTA SOUTH
"Asero High School, Asero",ABEOKUTA,SENIOR,ABEOKUTA SOUTH
"Baptist Boys' High, Saje",ABEOKUTA,SENIOR,ABEOKUTA SOUTH
"Baptist Girls' College School, Idi Aba",ABEOKUTA,SENIOR,ABEOKUTA SOUTH
"Catholic Comprehensivve High School, Panseke, Ibara",ABEOKUTA,SENIOR,ABEOKUTA SOUTH
"Egba Comprehensive High School, Asero",ABEOKUTA,SENIOR,ABEOKUTA SOUTH
"Igbore High School, Igbore",ABEOKUTA,SENIOR,ABEOKUTA SOUTH
"Ijemo-Titun High School, Housing Estate, Ibara",ABEOKUTA,SENIOR,ABEOKUTA SOUTH
"Lantoro High School, Lantoro",ABEOKUTA,SENIOR,ABEOKUTA SOUTH
"Lisabi Grammar School, Idi Aba",ABEOKUTA,SENIOR,ABEOKUTA SOUTH
"Macjob Grammar School, Onikolobo",ABEOKUTA,SENIOR,ABEOKUTA SOUTH
"Methodist High School, Ogbe",ABEOKUTA,SENIOR,ABEOKUTA SOUTH
"Nawair-Un-Deen High School, Isabo",ABEOKUTA,SENIOR,ABEOKUTA SOUTH
"Reverend Kuti Memorial Grammar School, Isabo",ABEOKUTA,SENIOR,ABEOKUTA SOUTH
"Saje High School, Saje",ABEOKUTA,SENIOR,ABEOKUTA SOUTH
"Saint John'S Anglican High School, Kuto",ABEOKUTA,SENIOR,ABEOKUTA SOUTH
"Saint Leo’S College, Onikoko",ABEOKUTA,SENIOR,ABEOKUTA SOUTH
"Arican Church Grammar School (Jnr), Ita- Iyalode",ABEOKUTA,JUNIOR,ABEOKUTA NORTH 
"Armyday Secondary School, (Jnr), Alamala",ABEOKUTA,JUNIOR,ABEOKUTA NORTH 
"Ebenezer Grammar School, (Jnr), Iberekodo",ABEOKUTA,JUNIOR,ABEOKUTA NORTH 
"Gateway Secondary School, (Jnr), Ita - Eko",ABEOKUTA,JUNIOR,ABEOKUTA NORTH 
"Ilugun High School (Jnr), Elega",ABEOKUTA,JUNIOR,ABEOKUTA NORTH 
"Lafenwa High School (Jnr), Lafenwa",ABEOKUTA,JUNIOR,ABEOKUTA NORTH 
"Premier Grammar School (Jnr), Lafenwa",ABEOKUTA,JUNIOR,ABEOKUTA NORTH 
"St. Peter'S College,(Jnr) Olomore",ABEOKUTA,JUNIOR,ABEOKUTA NORTH 
"Unity High School,(Jnr) Ago- Ika",ABEOKUTA,JUNIOR,ABEOKUTA NORTH 
"Arican Church Grammar School (Snr), Ita- Iyalode",ABEOKUTA,SENIOR,ABEOKUTA NORTH 
"Armyday Secondary School, (Snr), Alamala",ABEOKUTA,SENIOR,ABEOKUTA NORTH 
"Ebenezer Grammar School, (Snr), Iberekodo",ABEOKUTA,SENIOR,ABEOKUTA NORTH 
"Gateway Secondary School, (Snr), Ita - Eko",ABEOKUTA,SENIOR,ABEOKUTA NORTH 
"Ilugun High School (Snr), Elega",ABEOKUTA,SENIOR,ABEOKUTA NORTH 
"Lafenwa High School (Snr), Lafenwa",ABEOKUTA,SENIOR,ABEOKUTA NORTH 
"Premier Grammar School (Snr), Lafenwa",ABEOKUTA,SENIOR,ABEOKUTA NORTH 
"St. Peter'S College,(Snr) Olomore",ABEOKUTA,SENIOR,ABEOKUTA NORTH 
"Unity High School,(Snr) Ago- Ika",ABEOKUTA,SENIOR,ABEOKUTA NORTH 
"Ajiboyede Comprhensive High School, Ibara - Orile",IBARA-ORILE,COMBINED,ABEOKUTA NORTH 
"Ansar-Ud- Deen Grammar School, Isaga Orile",ISAGA ORILE,COMBINED,ABEOKUTA NORTH 
"Idi- Emi High School, Idi Emi",IDI EMI,COMBINED,ABEOKUTA NORTH 
"Ikija High School, Ikija",ABEOKUTA,COMBINED,ABEOKUTA NORTH 
"Ilewo Community High School, Ilewo",ILEWO-ORILE,COMBINED,ABEOKUTA NORTH 
"Imala Community High School, Imala",IMALA,COMBINED,ABEOKUTA NORTH 
"Oke- Ona Grammar School, Oke- Ona",ABEOKUTA,COMBINED,ABEOKUTA NORTH 
"Olorunda Community High School, Olorunda",ABEOKUTA,COMBINED,ABEOKUTA NORTH 
"Olumo High School, Sabo",ABEOKUTA,COMBINED,ABEOKUTA NORTH 
"Army Day Junior Sec. Sch,. Owode",OWODE-YEWA,JUNIOR,YEWA SOUTH
