1,"AFRICAN CHURCH GRAMMAR SCHOOL (SNR), ITA-IYALODE",ABEOKUTA NORTH
2,"ANSAR-UD-DEEN GRAMMAR SCHOOL (SNR), ISAGA ORILE (COMBINED)",ABEOKUTA NORTH
3,"ARMYDAY SECONDARY SCHOOL (SNR), ALAMALA",ABEOKUTA NORTH
4,"EBENEZER GRAMMAR SCHOOL (SNR), IBEREKODO",ABEOKUTA NORTH
5,"GATEWAY SECONDARY SCHOOL (SNR), ITA-IYALODE",ABEOKUTA NORTH
6,"IDI-EMI HIGH SCHOOL (SNR), IDI-EMI (COMBINED)",ABEOKUTA NORTH
7,"IKIJA HIGH SCHOOL (SNR), IBEREKODO (COMBINED)",ABEOKUTA NORTH
8,"ILEWO ORILE COMMUNITY HIGH SCHOOL (SNR), ILEWO ORILE",ABEOKUTA NORTH
9,"ILUGUN HIGH SCHOOL (SNR), ELEGA",ABEOKUTA NORTH
10,"IMALA COMMUNITY HIGH SCHOOL (SNR), IMALA (COMBINED)",ABEOKUTA NORTH
11,"LAFENWA HIGH SCHOOL (SNR), LAFENWA",ABEOKUTA NORTH
12,"OKE-ONA GRAMMAR SCHOOL (SNR), OPEJI ROAD (COMBINED)",ABEOKUTA NORTH
13,"OLORUNDA COMMUNITY HIGH SCHOOL (SNR), OLORUNDA (COMBINED)",ABEOKUTA NORTH
14,"OLUMO HIGH SCHOOL (SNR), SABO (COMBINED)",ABEOKUTA NORTH
15,"PREMIER GRAMMAR SCHOOL (SNR), LAFENWA",ABEOKUTA NORTH
16,"ST. PETER'S COLLEGE (SNR), OLOMORE",ABEOKUTA NORTH
17,"UNITY HIGH SCHOOL (SNR), AGO-IKA",ABEOKUTA NORTH
18,"ABEOKUTA GIRLS' GRAMMAR SCHOOL, ONIKOLOBO (SENIOR)",ABEOKUTA SOUTH
19,"ABEOKUTA GRAMMAR SCHOOL, IDI ABA (SENIOR)",ABEOKUTA SOUTH
20,"ANGLICAN HIGH SCHOOL, QUARRY ROAD, IBARA (SENIOR)",ABEOKUTA SOUTH
21,"ASERO HIGH SCHOOL, ASERO (SENIOR)",ABEOKUTA SOUTH
22,"BAPTIST BOYS' HIGH SCHOOL, SAJE (SENIOR)",ABEOKUTA SOUTH
23,"BAPTIST GIRLS' COLLEGE SCHOOL, IDI ABA (SENIOR)",ABEOKUTA SOUTH
24,"CATHOLIC COMPREHENSIVE HIGH SCHOOL, PANSEKE (SENIOR)",ABEOKUTA SOUTH
25,"IGBORE HIGH SCHOOL, IGBORE (SENIOR)",ABEOKUTA SOUTH
26,"IJEMO-TITUN HIGH SCHOOL, HOUSING ESTATE, IBARA (SENIOR)",ABEOKUTA SOUTH
27,"LANTORO HIGH SCHOOL, LANTORO (SENIOR)",ABEOKUTA SOUTH
28,"LISABI GRAMMAR SCHOOL, IDI ABA (SENIOR)",ABEOKUTA SOUTH
29,"MACJOB GRAMMAR SCHOOL, ONIKOLOBO (SENIOR)",ABEOKUTA SOUTH
30,"METHODIST HIGH SCHOOL, OGBE (SENIOR)",ABEOKUTA SOUTH
31,"NAWAIR-UN-DEEN HIGH SCHOOL, ISABO (SENIOR)",ABEOKUTA SOUTH
32,"REVEREND KUTI MEMORIAL GRAMMAR SCHOOL, ISABO (SENIOR)",ABEOKUTA SOUTH
33,"SAINT JOHN'S ANGLICAN HIGH SCHOOL, KUTO (SENIOR)",ABEOKUTA SOUTH
34,"SAINT LEO�S COLLEGE, ONIKOKO (SENIOR)",ABEOKUTA SOUTH
35,"SAJE HIGH SCHOOL, SAJE (SENIOR)",ABEOKUTA SOUTH
36,"ADO-ODO HIGH SCHOOL, ADO-ODO (SNR)",ADO ODO/OTA
37,"AGBARA COMMUNITY HIGH SCHOOL, EDU-AGBARA (SNR)",ADO ODO/OTA
38,"AJOGBO GRAMMAR SCHOOL, AJIBODE (SNR)",ADO ODO/OTA
39,"ALAMUWA GRAMMAR SCHOOL, ADO-ODO (SNR)",ADO ODO/OTA
40,"ANGLICAN GRAMMAR SCHOOL, OTA (SNR)",ADO ODO/OTA
41,"ANSAR-UD-DEEN COMPREHENSIVE COLLEGE, OTA (SNR)",ADO ODO/OTA
42,"ANSAR-UD-DEEN COMPREHENSIVE HIGH SCHOOL, LAFENWA (SNR)",ADO ODO/OTA
43,"COMMUNITY HIGH SCHOOL, ALAPOTI (SNR)",ADO ODO/OTA
44,"COMMUNITY HIGH SCHOOL, IROKO (SNR)",ADO ODO/OTA
45,"IGANMODE GRAMMAR SCHOOL, OTA (SNR)",ADO ODO/OTA
46,"IGBESA HIGH SCHOOL, IGBESA (SNR)",ADO ODO/OTA
47,"IJU-EBIYE HIGH SCHOOL, IJU-OTA (SNR)",ADO ODO/OTA
48,"LOCAL GOVERNMENT COMMERCIAL SECONDARY SCHOOL, ATAN (SNR)",ADO ODO/OTA
49,"MALE COMPREHENSIVE HIGH SCHOOL, IGBESA (SNR)",ADO ODO/OTA
50,"SANGO-OTA HIGH SCHOOL, SANGO (SNR)",ADO ODO/OTA
51,"ST. STEPHENS COMPREHENSIVE HIGH SCHOOL, ADO-ODO (SNR)",ADO ODO/OTA
52,"UNITY HIGH SCHOOL, IJOKO (SNR)",ADO ODO/OTA
53,"UNITY HIGH SCHOOL, KAJOLA-IBORO (SNR)",ADO ODO/OTA
54,"ITORI COMPREHENSIVE HIGH SCHOOL, ITORI.(SENIOR)",EWEKORO
55,"METHODIST HIGH SCHOOL,ARIGBAJO.(SENIOR)",EWEKORO
56,"PAPALANTO HIGH SCHOOL, PAPALANTO.(SENIOR)",EWEKORO
57,"ADENRELE HIGH SCHOO (SENIOR), IFO",IFO
58,AGBADO DISTRICT COMPREHENSIVE HIGH SCHOOL(SNR) OKE-ARO,IFO
59,"AJUWON HIGH SCHOOL (SENIOR),AJUWON",IFO
60,ANGLICAN GRAMMAR SCHOOL SNR OKENLA,IFO
61,COMMUNITY HIGH SCH.(SNR) OJODU-ABIODUN,IFO
62,"IFO HIGH SCHOOL (SENIOR),IFO",IFO
63,"ITOKI COMMUNITY HIGH  SCHOOL(SENIOR), ITOKI.",IFO
64,"N.U.D GRAMMAR SCHOOL (SENIOR),SOLU",IFO
65,"PAKOTO HIGH SCHOOL (SENIOR), AYEDE",IFO
66,COMPREHENSIVE HIGH SCHOOL (SNR) IJEBU IFE,IJEBU EAST
67,ITELE HIGH SCHOOL (SNR) ITELE IJEBU,IJEBU EAST
68,"ST. ANTHONY'S GRAMMAR SCHOOL (SNR) ESURE, IJEBU IMUSIN",IJEBU EAST
69,ST. BRENDAN'S GRAMMAR SCHOOL (SNR) OGBERE,IJEBU EAST
70,"ABOBI COMPREHESIVE HIGH SCHOOL (SENIOR), AGO IWOYE",IJEBU NORTH
